Pseudo-identification types
---------------------------
There are five tiers of pseudo-ID, which determine how likely it is to activate.
Heavy sense inscribes items with 'average', 'excellent', 'terrible', etc.
Light sense inscribes all good+ items with 'uncursed' and leaves average items unlabeled.
Accessory sensing has only one type, but some classes are incapable of it at all.

With the Unlucky Black Aura mutation:
1/13 chance of a sense inscription being inverted (e.g 'excellent' becomes 'worthless')
With the Lucky White Aura mutation:
1/13 chance of a light sense becoming a heavy sense

Effects of Magicmaster flag (MM)
--------------------------------
Minimum spell failure rate is 0% (5% normally)
Minimum spell failure rate in Berserk personality is 20% (30% normally)
Spell level requirement lowered by 2
Can use Barrier Guard with Ctrl+g (mana shield effect, see help files for details)
Can use Staff of Mana Storm without taking self-damage
Higher chance of bolt attacks becoming beams
Lower chance of destroying items on recharge failure, will not destroy stacks of wands
Better resistance to magic item draining attacks
Prevents friendlies from accidentally melee attacking each other, including the player
Increases activation failure rate of Oni/Werebeast racial berserk rage powers
Directly improves the effects of the following spells:
	Shuffle, Wind Cutter, Mana Burst, Incite Possession,
	Oil Eruption, Smash Armor, Hell Lance, Holy Orb, Curse of Azathoth

Grassroots Youkai Network eligibility (GN)
------------------------------------------
All standard classes are eligible for the Grassroots Network (marked **)
However, the player must be one of the following races:
	Youkai, Fairy, Magician, Werebeast, Tsukumogami, Youkai-Doll, Fox, 
	Bakedanuki, Mermaid, Nyuudou, Koakuma, Golem, Jiangshi, or Ghost.

EX Score
--------
Some classes have an altered score multiplier in EXTRA difficulty.
Internally, this is treated as a modifier of the base score.
e.g. 90 to 99 is *1.1, 240 to 192 is *0.8

Hit Dice (HD), Mana Rate (MP)
-----------------------------
Hit dice are the basic component of player HP calculation. Higher = more HP per level.
For standard classes, class HD is added to race HD. For character-classes, they are pre-combined here.
Life rate modifies the effect of hit dice. HP from CON is a flat bonus per level added on top.

There are five grades of mana rate. Higher = more MP per level/WIS.
Classes with MP grade E do not benefit from MP increasing ability cards.

Pet Divider (PD)
----------------
Divisor of player level mitigation when calculating follower upkeep. Lower = less MP upkeep.
Several races/classes also treat appropriate follower types as having a lower level, lessening upkeep.

Attacks per round (APR)
-----------------------
The maximum number of melee weapon attacks a class can naturally achieve.
Extra attacks from enchantments, short blades skill, special class effects etc. are added on top.
This does not affect unarmed attacks, where the maximum is derived from martial arts skill.

Martial arts aptitude (FA)
--------------------------
+ indicates a unique martial arts style, ! indicates a unique style during a temporary effect.
Many classes have unusual distributions of generic attacks, which are not noted here.
Extra attacks granted by race, mutations, or common spells are not noted here either.

---------------------------------------------------------------------------------------------------------------------------------
Class			|	Arms/armour sense	|	Accessory	|	MM	|	GN	| Score	| EX Sc	|	HD	|	MP	|	PD	|	APR	|	FA	|
 Saki			|	A: Fast, Heavy		|	C: Slow		|	No	|	No	|	14	|	14	|	23	|	B	|	30	|	5	|	A	|
 Sakuya			|	B: Medium, Heavy	|	B: Medium	|	No	|	No	|	38	|	23	|	14	|	B	|	30	|	6	|	B	|
Samurai			|	A: Fast, Heavy		|	E: None!	|	No	|	**	|	90	|	90	|	+6	|	E	|	60	|	5	|	D	|
 Sanae			|	D: Slow, Light		|	B: Medium	|	Yes	|	No	|	63	|	63	|	14	|	B	|	50	|	4	|	C	|
 Sannyo			|	C: Slow, Heavy		|	C: Slow		|	No	|	No	|	58	|	58	|	15	|	C	|	70	|	5	|	C	|
 Satono			|	B: Medium, Heavy	|	C: Slow		|	No	|	No	|	52	|	52	|	14	|	B	|	25	|	3	|	D	|
 Satori			|	C: Slow, Heavy		|	C: Slow		|	No	|	No	|	72	|	72	|	14	|	A	|	20	|	3	|	E	|
SecondhandDealer|	A: Fast, Heavy		|	A: Fast		|	No	|	**	|	80	|	106	|	+4	|	D	|	70	|	5	|	E	|
 Seiga			|	D: Slow, Light		|	A: Fast		|	Yes	|	No	|	37	|	41	|	11	|	B	|	50	|	3	|	E	|
 Seija			|	A: Fast, Heavy		|	A: Fast		|	Yes	|	No	|	125	|	175	|	11	|	C	|	80	|	3	|	E	|
 Seiran			|	B: Medium, Heavy	|	D: V. slow	|	No	|	No	|	93	|	93	|	14	|	C	|	75	|	5	|	C	|
 Sekibanki		|	C: Slow, Heavy		|	D: V. slow	|	No	|	Auto|	110	|	110	|	14	|	D	|	50	|	5	|	C	|
 Shinmyoumaru	|	A: Fast, Heavy		|	A: Fast		|	No	|	No	|	27	|	27	|	15	|	C	|	50	|	6	|	C	|
 Shinmyoumaru2	|	A: Fast, Heavy		|	A: Fast		|	No	|	No	|	67	|	67	|	10	|	C	|	50	|	6	|	B+	|
 Shion			|	B: Medium, Heavy	|	B: Medium	|	No	|	No	|	160	|	80	|	14	|	A	|	90	|	3	|	C!	|
 Shizuha		|	D: Slow, Light		|	E: None!	|	No	|	No	|	150	|	150	|	13	|	D	|	50	|	4	|	B	|
 Shou			|	B: Medium, Heavy	|	C: Slow		|	No	|	No	|	48	|	48	|	17	|	C	|	30	|	6	|	B	|
ShMaiden/Priest	|	D: Slow, Light		|	B: Medium	|	Yes	|	**	|	80	|	80	|	+4	|	B	|	40	|	5	|	C	|
Shugenja		|	C: Slow, Heavy		|	C: Slow		|	No	|	**	|	75	|	75	|	+4	|	B	|	55	|	5	|	A	|
Soldier			|	C: Slow, Heavy		|	E: None!	|	No	|	**	|	80	|	80	|	+4	|	D	|	120	|	5	|	B!	|
 Starsapphire	|	C: Slow, Heavy		|	D: V. slow	|	No	|	Yes	|	240	|	240	|	9	|	C	|	70	|	4	|	E	|
 Suika			|	D: Slow, Light		|	D: V. slow	|	No	|	No	|	24	|	24	|	28	|	C	|	30	|	5	|	A	|
 Sumireko		|	D: Slow, Light		|	B: Medium	|	No	|	No	|	40	|	30	|	13	|	B	|	60	|	3	|	B+	|
 Sunnymilk		|	E: V. slow, Light	|	D: V. slow	|	No	|	Yes	|	220	|	220	|	11	|	D	|	80	|	4	|	C	|
 Suwako			|	C: Slow, Heavy		|	A: Fast		|	Yes	|	No	|	20	|	30	|	18	|	B	|	20	|	5	|	B+	|
 Takane			|	C: Slow, Heavy		|	B: Medium	|	No	|	No	|	72	|	72	|	12	|	D	|	45	|	4	|	D	|
Teacher			|	C: Slow, Heavy		|	C: Slow		|	No	|	**	|	80	|	80	|	+3	|	B	|	45	|	5	|	C	|
 Tenshi			|	D: Slow, Light		|	B: Medium	|	No	|	No	|	27	|	27	|	17	|	B	|	40	|	5	|	B+	|
 Tewi			|	D: Slow, Light		|	D: V. slow	|	No	|	No	|	67	|	80	|	13	|	D	|	30	|	4	|	E	|
 Three-fairies	|	D: Slow, Light		|	C: Slow		|	No	|	Yes	|	100	|	80	|	13	|	B	|	60	|	4	|	C+	|
 Tojiko			|	C: Slow, Heavy		|	D: V. slow	|	No	|	No	|	57	|	57	|	10	|	B	|	60	|	3	|	B+	|
 Toyohime		|	C: Slow, Heavy		|	A: Fast		|	Yes	|	No	|	11	|	11	|	15	|	A	|	3	|	3	|	D	|
 Tsukasa		|	D: Slow, Light		|	B: Medium	|	No	|	No	|	60	|	60	|	11	|	B	|	40	|	3	|	D	|
Tsukumo-Master	|	A: Fast, Heavy		|	A: Fast		|	No	|	**	|	80	|	100	|	+4	|	C	|	25	|	4	|	D	|
 Udonge			|	B: Medium, Heavy	|	D: V. slow	|	No	|	No	|	48	|	48	|	15	|	C	|	50	|	5	|	B+	|
 Urumi			|	B: Medium, Heavy	|	D: V. slow	|	No	|	Yes	|	75	|	75	|	13	|	C	|	40	|	5	|	B	|
 Utsuho			|	E: V. slow, Light	|	E: None!	|	No	|	No	|	25	|	25	|	18	|	A	|	90	|	5	|	B+	|
 VFS-Clownpiece	|	E: V. slow, Light	|	C: Slow		|	No	|	Yes	|	150	|	150	|	12	|	C	|	70	|	4	|	D	|
 Wakasagi		|	D: Slow, Light		|	D: V. slow	|	No	|	Auto|	135	|	135	|	12	|	D	|	50	|	4	|	C	|
Warrior			|	A: Fast, Heavy		|	E: None!	|	No	|	**	|	100	|	90	|	+9	|	E	|	60	|	6	|	B	|
 Wriggle		|	D: Slow, Light		|	E: None!	|	No	|	Yes	|	160	|	160	|	13	|	C	|	30	|	4	|	B	|
 Yachie			|	C: Slow, Heavy		|	B: Medium	|	No	|	No	|	35	|	35	|	16	|	B	|	25	|	4	|	B	|
 Yamame			|	D: Slow, Light		|	D: V. slow	|	No	|	Yes	|	120	|	120	|	14	|	C	|	50	|	4	|	C	|
 Yamaxanadu		|	A: Fast, Heavy		|	A: Fast		|	No	|	No	|	18	|	18	|	19	|	B	|	30	|	4	|	E	|
 Yatsuhashi		|	B: Medium, Heavy	|	B: Medium	|	No	|	Yes	|	56	|	56	|	11	|	B	|	70	|	3	|	D	|
 Yorihime		|	A: Fast, Heavy		|	B: Medium	|	Yes	|	No	|	11	|	11	|	18	|	B	|	30	|	6	|	B	|
 Yoshika		|	E: V. slow, Light	|	E: None!	|	No	|	No	|	60	|	60	|	22	|	D	|	50	|	5	|	B+	|
 Youmu			|	B: Medium, Heavy	|	D: V. slow	|	No	|	No	|	49	|	49	|	15	|	C	|	50	|	5	|	D	|
 Yukari			|	B: Medium, Heavy	|	A: Fast		|	Yes	|	No	|	8	|	8	|	20	|	A	|	30	|	5	|	B+	|
 Yuugi			|	C: Slow, Heavy		|	D: V. slow	|	No	|	No	|	45	|	45	|	25	|	C	|	55	|	5	|	B	|
 Yuuka			|	B: Medium, Heavy	|	B: Medium	|	Yes	|	No	|	21	|	21	|	23	|	B	|	40	|	6	|	C	|
 Yuuma			|	A: Fast, Heavy		|	C: Slow		|	No	|	No	|	14	|	14	|	24	|	B	|	50	|	5	|	C	|
 Yuyuko			|	C: Slow, Heavy		|	A: Fast		|	Yes	|	No	|	17	|	20	|	12	|	A	|	20	|	5	|	B+	|
 Zanmu			|	A: Fast, Heavy		|	A: Fast		|	Yes	|	No	|	20	|	20	|	20	|	A	|	10	|	4	|	D	|
